GrLivArea,MSSubClass,LotFrontage,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,LowQualFinSF,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageYrBlt,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,MSZoning,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,Heating,HeatingQC,CentralAir,Electrical,KitchenQual,Functional,FireplaceQu,GarageType,GarageFinish,GarageQual,GarageCond,PavedDrive,PoolQC,Fence,MiscFeature,SaleType,SaleCondition,GarageSize,Remodel_binary,TotalIndoorSF,LotPercent,LivArea_sq,Log_LivArea,Remodel_Neighborhood,Remodel_Year,Remodel_Qual,Remodel_GrLiv,Remodel_TotSF,Remodel_Bath,Neighborhood_Num,SalePrice,Log_SalePrice
1274,2S_1946newer,63.0,10475,5,5,1991,1991,0.0,458.0,0.0,166.0,624.0,624,650,0,0.0,0.0,1,1,3,1,6,0,1993.0,2.0,576.0,22,0,0,0,0,0,0,3,2010,RL,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,2Story,Gable,CompShg,HdBoard,HdBoard,None,TA,TA,PConc,Gd,TA,No,Rec,Unf,GasA,Gd,Y,SBrkr,TA,Typ,None,Detchd,Unf,TA,TA,Y,None,GdWo,None,WD ,Normal,large,0,1898.0,0.05957040572792363,1623076,7.149916836132109,,0,0,0,0.0,0,9,136000,11.820410164718188
861,1S_1945older,62.0,7404,4,6,1920,1950,0.0,0.0,0.0,861.0,861.0,861,0,0,0.0,0.0,1,0,2,1,5,0,1920.0,2.0,288.0,0,0,128,0,0,0,0,11,2009,RM,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,1Story,Gable,CompShg,MetalSd,MetalSd,None,TA,TA,BrkTil,Fa,TA,No,Unf,Unf,GasA,TA,Y,SBrkr,TA,Typ,None,Detchd,Unf,TA,TA,N,None,None,None,Oth,Normal,large,1,1722.0,0.11628849270664506,741321,6.7580945044277305,OldTown,1920,4,861,1722.0,1,12,80000,11.289781913656018
1394,1S_1946newer,70.79919309359848,9500,6,5,1963,1963,247.0,609.0,0.0,785.0,1394.0,1394,0,0,1.0,0.0,1,1,3,1,6,2,1963.0,2.0,514.0,0,76,0,0,185,0,0,7,2009,RL,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,Plywood,Plywood,BrkFace,TA,TA,CBlock,Gd,TA,No,BLQ,Unf,GasA,Gd,Y,SBrkr,TA,Typ,Gd,Attchd,RFn,TA,TA,Y,None,None,None,WD ,Normal,large,0,2788.0,0.14673684210526317,1943236,7.2399325913204695,,0,0,0,0.0,0,6,159000,11.976659481202368
1536,1S_1946newer,70.0,9135,7,5,2002,2003,113.0,810.0,0.0,726.0,1536.0,1536,0,0,1.0,0.0,2,0,3,1,7,0,2002.0,2.0,532.0,192,74,0,0,0,0,0,12,2008,RL,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,Av,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,None,Attchd,RFn,TA,TA,Y,None,None,None,WD ,Normal,large,1,3072.0,0.16814449917898194,2359296,7.336936913707618,CollgCr,2002,7,1536,3072.0,2,16,214000,12.273731294003989
1680,2S_1946newer,50.0,8480,6,5,1993,1994,120.0,602.0,0.0,284.0,886.0,886,794,0,0.0,1.0,2,1,3,1,7,0,1993.0,2.0,474.0,144,96,0,0,0,0,0,10,2008,RL,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,2Story,Gable,CompShg,HdBoard,HdBoard,BrkFace,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,None,Attchd,RFn,TA,TA,Y,None,None,None,WD ,Normal,large,1,2566.0,0.1044811320754717,2822400,7.426549072397305,SawyerW,1993,6,1680,2566.0,2,20,163000,12.0015054797889
1274,1S_1946newer,68.0,8814,7,5,2005,2007,80.0,925.0,0.0,349.0,1274.0,1274,0,0,1.0,0.0,2,0,3,1,6,0,2005.0,2.0,508.0,264,98,0,0,0,0,0,1,2007,RL,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,None,Attchd,RFn,TA,TA,Y,None,None,None,New,Partial,large,1,2548.0,0.14454277286135694,1623076,7.149916836132109,CollgCr,2005,7,1274,2548.0,2,16,203000,12.220961258023925
864,1S_1945older,45.0,8248,3,3,1914,1950,0.0,41.0,0.0,823.0,864.0,864,0,0,1.0,0.0,1,0,2,1,5,0,1914.0,0.0,0.0,0,0,100,0,0,0,0,9,2008,RL,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,Gable,CompShg,Stucco,Stucco,None,TA,TA,BrkTil,TA,TA,No,BLQ,Unf,GasA,TA,N,FuseF,TA,Typ,None,None,None,None,None,N,None,None,None,WD ,Normal,small,1,1728.0,0.10475266731328807,746496,6.761572768804055,Edwards,1914,3,864,1728.0,1,7,67000,11.112447898373103
1610,1S_1946newer,79.01935203909733,10603,6,7,1977,2001,28.0,1200.0,0.0,410.0,1610.0,1610,0,0,1.0,0.0,2,0,3,1,6,2,1977.0,2.0,480.0,168,68,0,0,0,0,0,2,2010,RL,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,Plywood,Plywood,BrkFace,TA,TA,PConc,TA,TA,Mn,ALQ,Unf,GasA,Gd,Y,SBrkr,Gd,Typ,TA,Attchd,RFn,TA,TA,Y,None,None,None,WD ,Normal,large,1,3220.0,0.15184381778741865,2592100,7.383989457978509,NWAmes,1977,6,1610,3220.0,2,23,205000,12.230765258120543
1091,splitlevel,62.0,7706,6,5,1993,1996,0.0,114.0,270.0,0.0,384.0,1091,0,0,0.0,1.0,1,0,2,1,5,0,1993.0,1.0,429.0,280,0,0,0,0,0,700,8,2009,RL,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,SLvl,Gable,CompShg,HdBoard,HdBoard,None,TA,Gd,CBlock,Gd,TA,Av,Rec,GLQ,GasA,Ex,Y,SBrkr,TA,Typ,None,Attchd,Fin,TA,TA,Y,None,None,Shed,WD ,Normal,small,1,1475.0,0.14157799117570724,1190281,6.994849985833071,Mitchel,1993,6,1091,1475.0,1,9,131250,11.78485918045387
1486,1S_1946newer,65.0,7441,7,5,2006,2006,170.0,0.0,0.0,1461.0,1461.0,1486,0,0,0.0,0.0,2,0,3,1,7,0,2006.0,2.0,566.0,0,32,0,0,0,0,0,6,2007,RL,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,No,Unf,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,None,Attchd,RFn,TA,TA,Y,None,None,None,WD ,Normal,large,0,2947.0,0.19970434081440666,2208196,7.303843225277705,,0,0,0,0.0,0,20,181000,12.106252310247962
789,1S_1946newer,50.0,6000,5,5,1948,1950,0.0,104.0,169.0,516.0,789.0,789,0,0,0.0,0.0,1,0,2,1,5,0,1948.0,1.0,250.0,0,0,0,0,0,0,0,4,2008,RM,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,CBlock,TA,TA,No,ALQ,BLQ,GasA,Ex,Y,SBrkr,TA,Typ,None,Detchd,Unf,TA,TA,Y,None,None,None,WD ,Partial,small,1,1578.0,0.1315,622521,6.670766320845874,OldTown,1948,5,789,1578.0,1,12,115000,11.652687407345388
1092,2S_PUD,21.0,1477,6,9,1970,2007,0.0,358.0,0.0,188.0,546.0,546,546,0,0.0,0.0,2,1,3,1,6,0,1970.0,0.0,0.0,187,0,0,0,0,0,0,3,2008,RM,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,Twnhs,2Story,Gable,CompShg,CemntBd,CmentBd,None,TA,Gd,CBlock,TA,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,TA,Typ,None,None,None,None,None,Y,None,None,None,WD ,Normal,small,1,1638.0,0.3696682464454976,1192464,6.9957661563048505,MeadowV,1970,6,1092,1638.0,2,3,98000,11.49272275765271
2640,2S_1945older,65.0,11700,7,7,1880,2003,0.0,0.0,0.0,1240.0,1240.0,1320,1320,0,0.0,0.0,1,1,4,1,8,1,1950.0,4.0,864.0,181,0,386,0,0,0,0,5,2009,RM,Pave,Pave,IR1,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,2Story,Mansard,CompShg,Stucco,Stucco,None,Gd,TA,Stone,TA,Fa,No,Unf,Unf,GasW,TA,N,SBrkr,Gd,Typ,Gd,Detchd,Unf,TA,TA,N,None,None,None,WD ,Normal,large,1,3880.0,0.11282051282051282,6969600,7.878534196140362,OldTown,1880,7,2640,3880.0,1,12,265979,12.491172637278908
1092,2S_PUD,21.0,1680,5,5,1971,1971,492.0,300.0,0.0,225.0,525.0,525,567,0,0.0,0.0,1,1,3,1,6,0,1997.0,1.0,320.0,0,0,0,0,0,0,0,3,2010,RM,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,Gable,CompShg,HdBoard,HdBoard,BrkFace,TA,TA,CBlock,TA,TA,No,Rec,Unf,GasA,TA,Y,SBrkr,TA,Typ,None,Detchd,Unf,TA,TA,Y,None,None,None,WD ,Normal,small,0,1617.0,0.3125,1192464,6.9957661563048505,,0,0,0,0.0,0,2,105500,11.56646623189826
1458,2S_1946newer,58.0,13204,7,5,2006,2007,44.0,0.0,0.0,608.0,608.0,608,850,0,0.0,0.0,2,0,3,1,6,0,2007.0,2.0,454.0,100,33,0,0,0,0,0,5,2007,RL,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,RRAn,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,Stone,TA,TA,PConc,Gd,TA,No,Unf,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,None,BuiltIn,Fin,TA,TA,Y,None,None,None,New,Partial,large,1,2066.0,0.046046652529536505,2125764,7.284820912568604,Gilbert,2006,7,1458,2066.0,2,19,168165,12.032700919255804
1466,1S_1946newer,73.0,8925,8,5,2007,2007,0.0,16.0,0.0,1450.0,1466.0,1466,0,0,0.0,0.0,2,0,3,1,7,0,2007.0,3.0,610.0,100,18,0,0,0,0,0,7,2009,RL,Pave,None,IR1,HLS,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,Gd,TA,PConc,Gd,TA,Av,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,None,Attchd,Fin,TA,TA,Y,None,None,None,WD ,Normal,large,0,2932.0,0.1642577030812325,2149156,7.290292882446597,,0,0,0,0.0,0,21,201000,12.211060187041213
1573,2S_PUD,15.777041239910313,2117,6,5,2000,2000,216.0,378.0,0.0,378.0,756.0,769,804,0,0.0,0.0,2,1,3,1,5,0,2000.0,2.0,440.0,0,32,0,0,0,0,0,6,2010,FV,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2Story,Gable,CompShg,MetalSd,MetalSd,BrkFace,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,None,Detchd,Unf,TA,TA,Y,None,None,None,WD ,Normal,large,0,2329.0,0.3632498819083609,2474329,7.360739903058278,,0,0,0,0.0,0,18,177500,12.086725887897607
2090,2S_1946newer,77.37233923134099,10382,7,6,1973,1973,240.0,859.0,32.0,216.0,1107.0,1107,983,0,1.0,0.0,2,1,3,1,7,2,1973.0,2.0,484.0,235,204,228,0,0,0,350,11,2009,RL,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,Gable,CompShg,HdBoard,HdBoard,Stone,TA,TA,CBlock,Gd,TA,Mn,ALQ,BLQ,GasA,Ex,Y,SBrkr,TA,Typ,TA,Attchd,RFn,TA,TA,Y,None,None,Shed,WD ,Normal,large,0,3197.0,0.10662685417068002,4368100,7.644919344958857,,0,0,0,0.0,0,23,200000,12.206072645530174
886,1S_1945older,50.0,5784,5,8,1938,1996,0.0,0.0,0.0,190.0,190.0,886,0,0,0.0,0.0,1,0,2,1,4,0,1938.0,1.0,273.0,144,20,80,0,0,0,0,12,2009,RM,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1Story,Gable,CompShg,MetalSd,MetalSd,None,TA,TA,BrkTil,Fa,TA,No,Unf,Unf,GasA,Gd,Y,FuseA,TA,Typ,None,Attchd,Unf,TA,TA,Y,None,None,None,WD ,Normal,small,1,1076.0,0.15318118948824344,784996,6.786716950605081,OldTown,1938,5,886,1076.0,1,12,91300,11.42190606658306
1258,1S_1946newer,64.0,7697,7,6,2007,2007,0.0,0.0,0.0,1246.0,1246.0,1258,0,0,0.0,0.0,2,0,3,1,6,0,2007.0,2.0,462.0,0,0,0,0,0,0,0,8,2007,RL,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,No,Unf,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,None,Attchd,RFn,TA,TA,Y,None,None,None,New,Partial,large,0,2504.0,0.16344030141613616,1582564,7.1372784372603855,,0,0,0,0.0,0,19,173500,12.063932878369052
1324,1S_1946newer,100.0,18494,6,5,2005,2005,0.0,0.0,0.0,1324.0,1324.0,1324,0,0,0.0,0.0,2,0,3,1,6,0,2005.0,2.0,430.0,36,23,0,0,0,0,0,1,2010,RL,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,Gd,TA,PConc,Gd,TA,No,Unf,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,None,Attchd,Fin,TA,TA,Y,None,None,None,WD ,Normal,large,0,2648.0,0.07159078620093003,1752976,7.188412736496954,,0,0,0,0.0,0,19,199500,12.203569515312056
1848,1_2S_finished,64.0,13053,6,7,1923,2000,0.0,0.0,0.0,833.0,833.0,1053,795,0,0.0,0.0,1,1,4,1,8,1,1922.0,2.0,370.0,0,0,0,0,220,0,0,6,2008,RL,Pave,Pave,Reg,Bnk,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,Gambrel,CompShg,Wd Sdng,Wd Sdng,None,TA,TA,BrkTil,TA,TA,No,Unf,Unf,GasA,Gd,Y,SBrkr,Gd,Typ,Gd,Detchd,Unf,TA,TA,N,None,None,None,WD ,Normal,large,1,2681.0,0.08067111008963457,3415104,7.521859252201629,BrkSide,1923,6,1848,2681.0,1,10,207000,12.240474072247506
1269,1S_1946newer,70.0,7931,5,6,1960,1960,0.0,374.0,532.0,363.0,1269.0,1269,0,0,0.0,0.0,1,1,3,1,6,1,1964.0,1.0,308.0,0,0,0,0,0,0,0,6,2008,RL,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,BrkFace,Wd Sdng,None,TA,TA,CBlock,TA,TA,No,BLQ,LwQ,GasA,TA,Y,FuseA,TA,Typ,Fa,Detchd,Unf,TA,TA,Y,None,None,None,WD ,Normal,small,0,2538.0,0.16000504350018913,1610361,7.1459844677143876,,0,0,0,0.0,0,6,155000,11.951180395901384
1346,1S_1946newer,88.0,11896,7,5,2008,2008,60.0,78.0,0.0,1258.0,1336.0,1346,0,0,1.0,0.0,2,0,3,1,6,1,2008.0,3.0,660.0,100,48,0,0,0,0,0,5,2010,RL,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,Timber,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,Stone,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,TA,Attchd,Fin,TA,TA,Y,None,None,None,WD ,Normal,large,0,2682.0,0.11314727639542703,1811716,7.204892510204673,,0,0,0,0.0,0,21,220000,12.301382825334498
1749,2S_1946newer,68.0,9272,7,5,1999,1999,0.0,500.0,0.0,342.0,842.0,856,893,0,0.0,0.0,2,1,3,1,7,0,1999.0,2.0,515.0,140,85,0,0,0,0,0,6,2006,RL,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,None,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,None,Attchd,RFn,TA,TA,Y,None,None,None,WD ,Normal,large,0,2591.0,0.09232096635030199,3059001,7.466799475018602,,0,0,0,0.0,0,16,196000,12.185869938212656
492,1S_1945older,52.0,7830,3,5,1921,1950,0.0,416.0,0.0,76.0,492.0,492,0,0,1.0,0.0,1,0,1,1,3,0,1921.0,1.0,200.0,0,0,78,0,0,0,0,6,2006,RM,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,Gable,CompShg,AsbShng,AsbShng,None,TA,TA,BrkTil,Fa,TA,No,LwQ,Unf,GasA,TA,Y,SBrkr,TA,Typ,None,Detchd,Unf,Fa,TA,N,None,None,None,WD ,Normal,small,1,984.0,0.06283524904214559,242064,6.198478716492308,OldTown,1921,3,492,984.0,1,12,61500,11.02679245379461
